1	This is just a precious little diamond. The play, the script are excellent. I cant compare this movie with anything else, maybe except the movie "Leon" wonderfully played by Jean Reno and Natalie Portman. But... What can I say about this one? This is the best movie Anne Parillaud has ever played in (See please "Frankie Starlight", she's speaking English there) to see what I mean. The story of young punk girl Nikita, taken into the depraved world of the secret government forces has been exceptionally over used by Americans. Never mind the "Point of no return" and especially the "La femme Nikita" TV series. They cannot compare the original believe me! Trash these videos. Buy this one, do not rent it, BUY it. BTW beware of the subtitles of the LA company which "translate" the US release. What a disgrace! If you cant understand French, get a dubbed version. But you'll regret later :)
2	When I say this is my favourite film of all time, that comment is not to be taken lightly. I probably watch far too many films than is healthy for me, and have loved quite a few of them. I first saw "La Femme Nikita" nearly ten years ago, and it still manages to be my absolute favourite. Why?<br /><br />This is more than an incredibly stylish and sexy thriller. Luc Besson's great flair for impeccable direction, fashion, and appropriate usage of music makes this a very watchable film. But it is Anne Parillaud's perfect rendering of a complex character who transforms from a heartless killer into a compassionate, vibrant young woman that makes this film beautiful. I can't keep my eyes off of her when she is on screen.<br /><br />I have seen several of Luc Besson's films including "Subway", "The Professional", and the irritating "Fifth Element", and "Nikita" is without a doubt, far superior to any of these. Although this film has tragic elements, it is ultimately extremely hopeful. It is the story of a person who is cruel and merciless, who ultimately comes to realize her own humanity and her own personal power. That, to me is extremely inspiring. If there is hope for Nikita, there is hope for all of us.
3	I saw this movie because I am a huge fan of the TV series of the same name starring Roy Dupuis and Pet Wilson. The movie was really good and I saw how the TV show is based on the movie. A few episodes of the TV series came directly from the movie and their similarity was amazing. To keep things short, any fan of the movie has to watch the series and any fan of the series must see the original Nikita.
4	Being that the only foreign films I usually like star a Japanese person in a rubber suit who crushes little tiny buildings and tanks, I had high hopes for this movie. I thought that this was a movie that wouldn't put me to sleep. WRONG! Starts off with a bang, okay, now she's in training, alright, she's an assassin, I'm still with you, oh, now she's having this moral dilemma and she can't decide if she loves her boyfriend or her controller, zzzzz.... Oh well, back to Gamera!
5	After seeing Point of No Return (a great movie) and being told that the original was better, I was certainly thrilled to see that one of the indie film channels was running La Femme Nikita. Then I saw the movie. Ouch! This was a major let-down.<br /><br />Nikita herself reminds me of Jar Jar Binks more than any other character I've seen recently. She comes across entirely as comic relief. The movie simply has nothing to recommend it besides the core concept of an evil, inhuman character paradoxically learning to be human while training as an assassin, and that concept failed miserably in Nikita due to the poor writing of the title role.
6	Stylish thriller? Hardly! This French action film from director Luc Besson is more confused and unsure about itself than anything else I have seen recently.<br /><br />The opening action sequence shows some promise, and the following action sequences are good. However they are sadly too few and far between. The drama is dull and erratic, and the characters are generally unlikeable. Anne Parillaud and the support cast are unable to involve the audience emotionally.<br /><br />"La Femme Nikita" ends up more like a try hard, B-grade action thriller. Very average!<br /><br />Saturday, April 28, 1991 - Balwyn Cinema
7	A Luc Besson (Léon, The Fith Element, The Messenger: The Story of Joan of Arc. Angel-A) film with Anne Parillaud (Innocent Blood), Tchéky Karyo(The Messenger: The Story of Joan of Arc, The Patriot, Kiss of the Dragon) and Jean Reno (Léon , The Crimson Rivers, Godzilla). It doesn't get better than this.<br /><br />The photography by Thierry Arbogast was perfect, especially the blue lighting at the pharmacy scene. It is easy to see why Besson uses him for his films. He is a master.<br /><br />Parillaud was absolutely magnificent in a character that was a strong woman, and a little girl at the same time. She was a profession, but she was also human. To see this instead of the comic book characters we are so familiar with is refreshing.<br /><br />Reno was a perfect cleaner. Hard and professional. Get the mission done.<br /><br />Jean-Hugues Anglade added just the right touch of sensitivity. Outstanding! There are just not enough superlatives to use in describing the acting and action in the film.
8	This isn't my typical movie genre. I am more interested in character drama than action movies. This is able to span both genres in a way that Hollywood hasn't managed to accomplish. The plot was interesting and the acting by Anne Parillaud was exceptional.<br /><br />I had seen the American remake, called "Point of No Return" and found it to be an OK movie, but I wanted to see the original. I am glad that I did. The technical aspects of direction and editing are very good. The plot was interesting - revolving around the timeless theme of redemption. The acting made this an exceptional movie.<br /><br />For fans of the action genre, they will be quite happy. For those like myself who are more interested in character and plot-driven movies may find this to be a pleasant surprise as well.
9	La Femme Nikita (1990) was a great movie from genre director Luc Besson. The story is about a drugged out young woman (Anne Parillund) who's hung out with the wrong crowd one too many times. During a botched drug store robbery and subsequent shoot out with the police, NIkita is the only survivor. She's tried, sentenced and executed. But, she wakes up in a strange room and greeted by a quiet and subdued individual (Tcheky Kayro) he tells her that she's been given a second chance at life. But will she do what needs to be done in order for her to receive. Will Nikita take this opportunity at a second life or will she throw it all away? Watch LA FEMME NIKITA to find out.<br /><br />The always imitated by never properly duplicated chic thriller has become a fixture in pop culture. Not only was this film remade several times but it also spawned an unrelated television series. Anne Parillund is super hot in her role as Nikita. Watch out for Luc Besson regular Jean Reno as Victor the Cleaner.<br /><br />Highly recommended.
10	Luc Besson has been behind some of the most provocative and intriguing action films of the last 15 years, and his introduction to mainstream American cinema-goers began with 1991's "La Femme Nikita." Beginning with a drug store shootout that leaves three junkie punkers and a few policemen dead, this film is rapidly engaging and shows off Besson's violent chic. In the fray, only young Nikita (Anne Parillaud) survives, after offing a policeman who had let his guard down at a crucial moment. Facing certain death in France's court of law, she is given two choices: lethal injection, or have her execution faked, and then assume a new life as a female super-assassin/spy. A wild-raised feral child of sorts, Nikita had picked up certain skills on the street that eventually prove to be quite valuable to her government handlers, as she makes things difficult for them and especially her chief mentor Bob (Tcheky Karyo). No secret is made of his affections for her, but he tries to mold Nikita into a valuable person, and he's able to do it with the help of another agent, played by actress Jeanne Moreau, who teaches her the finer ways of womanhood. By the end of her training, Nikita has been modeled into a fine, sexy female assassin. Besson makes no attempts to sacrifice his film in the ways of Hollywood convention, and he proves that the days of female-driven action cinema are not yet dead. Parillaud is compelling, as at first, she almost seems unaware of her identity as a woman. When she isn't taking out high-powered political officials, she's romancing a kind and gentle shop clerk, who falls madly in love with her as she does with him. Lastly, "La Femme Nikita" has some of the most stylized and violent action scenes of any movie I've seen in a while. Luc Besson, with this film and much of his subsequent work, has proved he is one of cinema's most valuable personalities on the European, Asian, and American action film circuits. Also, be aware of a cameo by future Besson "Leon" (1994) star Jean Reno as Victor the Cleaner, in what is pretty much an early prototype of his role from that star-making breakthrough film.<br /><br />8/10
